,역명,설치대수
0,서울,16
1,시청,24
2,종각,16
3,동대문,16
4,동묘앞,26
5,신설동,22
6,제기동,20
7,청량리,14
8,시청,22
9,을지로입구,16
10,동대문역사문화공원,14
11,신당,14
12,상왕십리,14
13,왕십리,18
14,잠실,26
15,잠실새내,16
16,종합운동장,28
17,삼성,14
18,선릉,16
19,역삼,14
20,강남,20
21,교대,20
22,서초,16
23,방배,14
24,사당,30
25,낙성대,14
26,서울대입구,14
27,봉천,14
28,신림,18
29,신도림,40
30,문래,16
31,영등포구청,16
32,합정,26
33,홍대입구,14
34,신촌,14
35,이대,14
36,아현,14
37,충정로,16
38,용두,20
39,신설동,14
40,도림천,14
41,양천구청,18
42,신정네거리,14
43,구파발,14
44,연신내,14
45,불광,14
46,녹번,14
47,홍제,14
48,무악재,14
49,독립문,14
50,경복궁,18
51,안국,16
52,충무로,24
53,동대입구,14
54,약수,14
55,금호,14
56,압구정,14
57,신사,14
58,잠원,14
59,고속터미널,24
60,교대,16
61,남부터미널,14
62,양재,14
63,매봉,16
64,도곡,22
65,대치,16
66,학여울,18
67,대청,16
68,일원,16
69,수서,18
70,가락시장,22
71,경찰병원,16
72,오금,14
73,쌍문,14
74,수유,16
75,미아,14
76,미아사거리,16
77,길음,14
78,성신여대입구,16
79,한성대입구,14
80,혜화,14
81,동대문,16
82,동대문역사문화공원,16
83,충무로,16
84,명동,18
85,회현,16
86,서울,16
87,숙대입구,14
88,삼각지,16
89,신용산,14
90,이촌,14
91,총신대입구,16
92,사당,16
93,남태령,14
94,방화,16
95,개화산,14
96,김포공항,18
97,송정,14
98,마곡,14
99,발산,16
100,우장산,14
101,화곡,14
102,까치산,28
103,신정,14
104,목동,14
105,오목교,18
106,양평,14
107,영등포구청,18
108,영등포시장,16
109,신길,20
110,여의도,16
111,여의나루,18
112,마포,14
113,공덕,14
114,애오개,14
115,충정로,14
116,서대문,14
117,광화문,14
118,동대문역사문화공원,18
119,청구,18
120,신금호,18
121,행당,14
122,왕십리,20
123,마장,14
124,답십리,16
125,장한평,16
126,군자,18
127,아차산,14
128,광나루,14
129,천호,20
130,강동,20
131,길동,14
132,굽은다리,14
133,명일,14
134,고덕,16
135,상일동,18
136,둔촌동,14
137,올림픽공원,14
138,방이,14
139,오금,16
140,개롱,14
141,거여,14
142,마천,14
143,응암,22
144,역촌,14
145,불광,14
146,독바위,14
147,연신내,20
148,구산,14
149,새절,16
150,증산,14
151,디지털미디어시티,22
152,월드컵경기장,22
153,마포구청,14
154,망원,18
155,합정,16
156,상수,14
157,광흥창,18
158,대흥,14
159,공덕,26
160,효창공원앞,16
161,삼각지,16
162,녹사평,16
163,이태원,16
164,한강진,16
165,버티고개,18
166,약수,16
167,청구,16
168,신당,18
169,동묘앞,20
170,창신,14
171,보문,14
172,안암,16
173,고려대,16
174,월곡,14
175,상월곡,16
176,돌곶이,16
177,석계,16
178,태릉입구,20
179,화랑대,18
180,봉화산,18
181,수락산,20
182,마들,14
183,노원,14
184,중계,16
185,하계,14
186,공릉,16
187,태릉입구,18
188,먹골,16
189,중화,14
190,상봉,14
191,면목,14
192,사가정,14
193,용마산,14
194,중곡,14
195,군자,16
196,어린이대공원,16
197,건대입구,18
198,청담,16
199,강남구청,16
200,학동,16
201,논현,16
202,반포,14
203,고속터미널,20
204,내방,14
205,남성,14
206,숭실대입구,14
207,상도,14
208,장승배기,14
209,신대방삼거리,14
210,보라매,14
211,신풍,18
212,대림,14
213,남구로,14
214,가산디지털단지,16
215,철산,14
216,광명사거리,16
217,천왕,14
218,온수,20
219,암사,14
220,천호,18
221,강동구청,14
222,몽촌토성,14
223,잠실,18
224,석촌,18
225,송파,14
226,가락시장,18
227,문정,18
228,장지,14
229,복정,18
230,산성,16
231,남한산성입구,14
232,단대오거리,14
233,신흥,14
234,수진,14
235,모란,16
